video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh
0,CoTracker3,none,99.32584269662922,31.46067415730337,18.741633199464523,62.92134831460674,45.88815789473684,89.21348314606742,79.91886409736308,99.7752808988764,98.87892376681614,100.0,99.32584269662922,68.55068433100196,76.67415730337079
0,CoTracker3,medium,90.3370786516854,7.191011235955057,3.292682926829269,35.50561797752809,20.65527065527065,80.0,61.95028680688337,98.65168539325845,87.8048780487805,100.0,90.3370786516854,52.80803941788983,64.26966292134831
0,CoTracker3,strong,21.573033707865168,2.4719101123595504,0.0,7.191011235955057,0.5576208178438662,28.314606741573037,3.2442748091603053,80.0,15.598290598290598,100.0,21.573033707865168,8.194643986631988,43.59550561797752
1,CoTracker3,none,87.71031455742502,38.44827586206897,27.250000000000004,57.24137931034483,44.39716312056737,76.20689655172413,55.41984732824427,90.17241379310344,66.88524590163935,94.82758620689656,71.09243697478992,53.00893866504819,71.37931034482759
1,CoTracker3,medium,90.05120702267739,20.689655172413797,12.76595744680851,51.03448275862069,38.7434554973822,65.17241379310344,53.62318840579711,83.62068965517241,68.5214626391097,92.41379310344828,76.96160267111853,50.12313333204321,62.58620689655172
1,CoTracker3,strong,89.53913679590345,8.448275862068966,4.613935969868174,23.96551724137931,13.948717948717947,53.62068965517241,36.82266009852217,70.34482758620689,53.03030303030303,86.20689655172413,68.84498480243161,35.45212036996858,48.51724137931034
2,CoTracker3,none,93.67469879518072,31.382978723404253,19.13477537437604,59.30851063829788,42.34592445328032,78.98936170212765,64.97695852534562,85.37234042553192,74.20924574209245,90.42553191489364,78.1094527363184,55.75527136628258,69.09574468085106
2,CoTracker3,medium,67.31927710843374,2.393617021276596,1.3207547169811322,7.978723404255319,2.676864244741874,17.819148936170212,5.50098231827112,39.62765957446808,14.989293361884368,66.75531914893617,30.33980582524272,10.965540093424242,26.914893617021274
2,CoTracker3,strong,86.8975903614458,0.0,0.0,0.0,0.0,0.2659574468085106,0.1312335958005249,1.0638297872340423,0.5270092226613966,5.851063829787234,2.968960863697706,0.7254407364319254,1.4361702127659577
3,CoTracker3,none,85.6996935648621,44.23652694610779,29.61971076593465,84.88023952095809,70.54263565891473,91.76646706586826,79.25925925925927,93.7125748502994,79.25925925925927,94.98502994011976,79.25925925925927,67.58802484052543,81.91616766467065
3,CoTracker3,medium,89.93871297242084,44.16167664670659,28.851963746223564,83.00898203592814,71.05614973262033,90.6437125748503,80.59280169371912,93.7874251497006,84.76534296028882,95.13473053892216,85.70391872278664,70.1940353711277,81.34730538922156
3,CoTracker3,strong,76.25127681307457,37.27544910179641,20.606564187785622,75.22455089820359,52.06914614981666,86.52694610778443,63.82618510158014,93.4131736526946,67.03107019562717,94.91017964071855,68.58304297328688,54.42320172161929,77.47005988023953
4,CoTracker3,none,91.77524429967428,79.13322632423755,65.54149085794656,88.76404494382022,73.34315169366715,97.1107544141252,79.96941896024465,98.87640449438202,82.19814241486068,100.0,84.19405320813772,77.04925142697135,92.77688603531298
4,CoTracker3,medium,91.77524429967428,71.58908507223114,54.21530479896239,79.29373996789727,60.893098782138026,88.4430176565008,71.3256484149856,93.41894060995185,77.46268656716417,99.83948635634027,84.05572755417957,69.59049322348594,86.51685393258427
