video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh
19,CoWTracker,none,82.78595696489242,15.80135440180587,7.43099787685775,34.988713318284425,18.08634772462077,61.17381489841986,36.57219973009447,81.26410835214448,54.03348554033486,91.19638826185101,62.96296296296296,35.817198766974165,56.88487584650114
19,CoWTracker,medium,77.57644394110986,5.191873589164786,2.33502538071066,15.124153498871332,7.1200850159404885,45.598194130925506,23.985239852398525,67.94582392776523,39.226519337016576,86.23024830699775,54.601226993865026,25.453619315986252,44.01805869074492
19,CoWTracker,strong,74.06568516421291,0.6772009029345373,0.3,2.9345372460496613,1.3131313131313131,9.706546275395034,4.479166666666667,24.830699774266364,12.192393736017896,52.82167042889391,28.589743589743588,9.374887061111894,18.1941309255079
20,CoWTracker,none,97.1304347826087,31.80327868852459,18.629961587708067,57.049180327868854,39.21863260706236,72.1311475409836,55.322715842414084,83.27868852459017,69.8441796516957,94.09836065573771,85.85757271815446,53.77461248140693,67.67213114754098
20,CoWTracker,medium,96.52173913043478,27.759562841530055,15.81569115815691,47.431693989071036,30.434782608695656,66.01092896174863,48.089171974522294,81.74863387978142,67.26618705035972,95.30054644808743,87.31117824773413,49.78340220789374,63.65027322404371
20,CoWTracker,strong,93.47826086956522,10.163934426229508,5.155210643015521,25.3551912568306,13.933933933933934,46.557377049180324,28.95989123045547,69.07103825136612,49.9604743083004,83.49726775956285,67.4315975286849,33.08822152887805,46.92896174863388
21,CoWTracker,none,99.91789819376025,49.01477832512315,32.48095756256801,80.45977011494253,67.23901098901099,97.94745484400657,95.89702333065165,100.0,99.91789819376025,100.0,99.91789819376025,79.09055765395023,85.48440065681444
21,CoWTracker,medium,100.0,27.339901477832512,15.834522111269614,63.464696223316906,46.48226097414312,89.4088669950739,80.84632516703786,99.75369458128078,99.5085995085995,100.0,100.0,68.53434155221001,75.99343185550082
21,CoWTracker,strong,100.0,1.8883415435139574,0.9531703273932863,8.210180623973727,4.280821917808219,35.63218390804598,21.678321678321677,83.9080459770115,72.27722772277228,98.85057471264368,97.72727272727273,39.38336287471363,45.69786535303777
22,CoWTracker,none,69.20651602732526,21.943048576214405,9.670248240088922,50.502512562814076,25.423728813559322,82.41206030150754,49.57049014653865,90.87102177554439,57.36310473152578,99.66499162479062,66.57287563308948,41.720089512960435,69.07872696817421
22,CoWTracker,medium,62.900683131897004,16.331658291457288,6.726457399103139,45.22613065326633,21.1433046202036,79.31323283082077,44.10805775500698,90.78726968174205,53.93034825870647,99.91624790619765,62.75644397685429,37.7329224019749,66.31490787269682
22,CoWTracker,strong,62.743037309511294,5.611390284757118,2.211221122112211,20.85427135678392,8.742977528089888,55.61139028475712,27.291409782161942,88.77721943048577,52.03730976926854,99.66499162479062,62.40167802831673,30.536919245989864,54.103852596314916
23,CoWTracker,none,89.18545789231477,39.22848664688428,23.074229691876752,73.76854599406528,54.43760984182777,88.3679525222552,72.98228346456693,94.3026706231454,81.55991735537191,97.3293768545994,85.09741969457609,63.43029200964389,78.5994065281899
23,CoWTracker,medium,90.33594109526001,24.92581602373887,13.399424368404222,60.29673590504451,40.047393364928915,82.07715133531157,63.711911357340725,92.46290801186944,78.10145655449523,97.62611275964392,85.55729984301414,56.163497097636636,71.47774480712165
23,CoWTracker,strong,84.53750575241602,4.985163204747774,2.329450915141431,20.534124629080118,10.34688995215311,58.27893175074183,36.162361623616235,81.24629080118694,58.6414445399828,93.70919881305639,74.3032593292395,36.35668127202661,51.75074183976262
24,CoWTracker,none,91.07692307692308,69.29238985313752,48.686679174484055,97.59679572763686,85.59718969555034,99.86648865153538,89.3667861409797,100.0,89.5933014354067,100.0,89.5933014354067,80.5674515763655,93.35113484646195
