video,model,blur,average_jaccard,average_pts_within_thresh,jaccard_1,jaccard_16,jaccard_2,jaccard_4,jaccard_8,occlusion_accuracy,pts_within_1,pts_within_16,pts_within_2,pts_within_4,pts_within_8
14,TapNext,none,59.61725167565975,71.98062432723358,16.499189627228525,87.7742946708464,41.551792044111856,70.00946073793756,82.25152129817445,88.11579481970544,27.610333692142085,99.83853606027986,57.7502691065662,82.07750269106566,92.6264800861141
14,TapNext,medium,26.063889450415683,46.39397201291711,6.283662477558348,44.038929440389296,16.99604743083004,26.658108686350023,36.34269921695071,53.072625698324025,11.517761033369215,83.36921420882669,27.98708288482239,43.810548977395044,65.28525296017223
14,TapNext,strong,7.128153227641722,14.96232508073197,0.102880658436214,21.170610211706105,1.2838306731436502,3.1813361611876987,9.90210843373494,51.39664804469274,0.2152852529601722,44.18729817007535,2.3143164693218514,7.373519913885899,20.721205597416578
15,TapNext,none,81.21013551756897,88.18666666666667,47.01273261508325,99.60106382978722,66.4079822616408,93.4278350515464,99.60106382978722,99.60732984293193,64.13333333333333,100.0,80.0,96.8,100.0
15,TapNext,medium,79.50688671949257,86.42666666666668,37.476979742173114,98.5372340425532,64.97237569060773,98.0106100795756,98.5372340425532,98.56020942408377,54.400000000000006,100.0,78.66666666666666,99.33333333333333,99.73333333333333
15,TapNext,strong,27.888802597916712,40.21333333333333,2.3529411764705883,63.125,9.571788413098236,24.52290076335878,39.87138263665595,73.69109947643979,4.0,89.73333333333333,15.466666666666667,36.266666666666666,55.60000000000001
16,TapNext,none,95.37906137184116,97.38775510204081,76.89530685920577,100.0,100.0,100.0,100.0,100.0,86.93877551020408,100.0,100.0,100.0,100.0
16,TapNext,medium,95.25179856115109,97.30612244897958,76.2589928057554,100.0,100.0,100.0,100.0,100.0,86.53061224489797,100.0,100.0,100.0,100.0
16,TapNext,strong,28.963220221684754,36.6530612244898,2.355460385438972,95.10204081632652,4.366812227074235,16.87041564792176,26.121372031662272,95.10204081632652,4.489795918367347,100.0,8.16326530612245,28.163265306122447,42.44897959183673
17,TapNext,none,58.69855414045432,71.47783251231526,19.736842105263158,94.07582938388626,38.813559322033896,62.82306163021869,78.04347826086956,96.11829944547135,33.497536945812804,98.76847290640394,56.896551724137936,78.81773399014779,89.4088669950739
