video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,outlier_ratio_vs_gt,false_visible_rate,false_occluded_rate,trajectory_length_ratio
0,CoWTracker,none,99.7752808988764,22.47191011235955,12.67427122940431,48.53932584269663,32.09509658246657,79.7752808988764,66.16822429906543,95.95505617977528,92.0086393088553,100.0,99.7752808988764,60.5443024637336,69.34831460674158,8.807893753051758,1.0479302623813278,0.0,0.0022222222222222222,0.9533333333333334
0,CoWTracker,medium,100.0,6.292134831460674,3.248259860788863,32.13483146067416,19.143239625167336,74.6067415730337,59.49820788530465,99.10112359550561,98.21826280623608,100.0,100.0,56.02159403549939,62.426966292134836,9.448381423950195,1.1403519158440414,0.0,0.0,1.0
0,CoWTracker,strong,100.0,0.8988764044943821,0.4514672686230248,4.49438202247191,2.2988505747126435,23.370786516853933,13.231552162849871,67.41573033707866,50.847457627118644,99.7752808988764,99.55156950672645,33.276179428006124,39.19101123595506,13.372416496276855,1.5784692002943586,0.0,0.0,1.0
1,CoWTracker,none,82.58961228968545,35.86206896551724,18.367346938775512,53.44827586206896,29.640427599611275,71.72413793103448,43.75,85.0,55.29685681024446,94.6551724137931,64.89493201483313,42.38991267269288,68.13793103448276,4.584890842437744,1.1698960131512093,0.2617534942820839,0.05333333333333334,1.4244632409332953
1,CoWTracker,medium,75.49378200438917,12.931034482758621,5.547337278106509,40.86206896551724,19.915966386554622,61.03448275862069,32.74418604651162,74.48275862068967,42.557442557442556,88.27586206896552,53.771551724137936,30.907296798550654,55.51724137931034,5.398613452911377,1.3996154925679174,0.38246505717916135,0.056666666666666664,1.7635213715000464
1,CoWTracker,strong,65.54498902706656,5.172413793103448,1.949317738791423,22.586206896551726,9.034051424600417,51.55172413793103,23.252160251374708,70.34482758620689,33.64565587734242,83.62068965517241,43.026435733819504,22.181524205185692,46.6551724137931,2.9001028537750244,0.687661000049777,0.5590851334180432,0.051666666666666666,2.2653416647881257
2,CoWTracker,none,93.22289156626506,48.67021276595745,31.66089965397924,67.81914893617021,50.39525691699605,84.04255319148936,71.01123595505618,92.5531914893617,80.33175355450237,99.7340425531915,88.83374689826302,64.44657859575938,78.56382978723404,22.3530216217041,1.007826494734398,0.09375,0.04488778054862843,1.037380604504901
2,CoWTracker,medium,93.52409638554217,1.8617021276595744,0.9433962264150944,10.372340425531915,5.492957746478874,25.79787234042553,14.701378254211333,44.9468085106383,28.694158075601372,67.2872340425532,48.9065606361829,19.747690187777916,30.0531914893617,17.89354133605957,0.814398210282538,0.06944444444444445,0.057356608478802994,1.0957729415512023
2,CoWTracker,strong,80.2710843373494,0.0,0.0,0.0,0.0,0.5319148936170213,0.2663115845539281,2.925531914893617,0.938337801608579,10.638297872340425,4.583333333333333,1.157596543899168,2.8191489361702127,12.451167106628418,0.5742239031634997,0.22916666666666666,0.16209476309226933,1.0812886287625418
3,CoWTracker,none,90.29622063329928,42.964071856287426,26.04735883424408,78.81736526946108,60.743321718931476,90.11976047904191,75.07906388361796,96.10778443113772,82.9477858559154,97.97904191616766,84.77970627503338,65.91944731354846,81.19760479041916,3.907015800476074,1.0915916714719809,0.22990353697749197,0.034533431300514325,1.318793622497103
3,CoWTracker,medium,84.88253319713994,45.58383233532935,26.455026455026452,76.27245508982035,53.61542581681843,87.12574850299401,66.16454229432213,94.46107784431138,75.62767911818739,96.8562874251497,78.58032378580324,60.08859949403153,80.05988023952095,3.1691536903381348,0.9642358473646881,0.3954983922829582,0.036737692872887584,1.5526323728930391
3,CoWTracker,strong,79.72420837589377,39.221556886227546,20.86709886547812,68.6377245508982,42.8639846743295,86.22754491017965,60.29016657710908,94.01197604790418,69.48863636363637,95.88323353293413,71.63406214039125,53.02878972418886,76.79640718562875,1.4948158264160156,0.7895931287225325,0.5691318327974276,0.03159441587068332,1.955140430142003
4,CoWTracker,none,91.28664495114006,83.94863563402889,61.57697121401752,91.3322632423756,71.44754316069057,94.70304975922953,76.36612021857924,98.5553772070626,82.34463276836158,100.0,84.69241773962804,75.2855370202554,93.70786516853933,1.4862868785858154,1.5025862268059145,0.1256198347107438,0.047839506172839504,1.1828190236358431
