video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,outlier_magnitude,outlier_ratio_vs_gt,false_visible_rate,false_occluded_rate
0,CoTracker3,none,99.32584269662922,31.46067415730337,18.741633199464523,62.92134831460674,45.88815789473684,89.21348314606742,79.91886409736308,99.7752808988764,98.87892376681614,100.0,99.32584269662922,68.55068433100196,76.67415730337079,8.659160614013672,1.0304466032059836,0.0,0.006666666666666667
0,CoTracker3,medium,90.3370786516854,7.191011235955057,3.2926829268292686,35.50561797752809,20.655270655270655,80.0,61.95028680688337,98.65168539325843,87.8048780487805,100.0,90.3370786516854,52.80803941788983,64.26966292134831,10.196022033691406,1.2129005683869405,0.0,0.09555555555555556
0,CoTracker3,strong,21.573033707865168,2.4719101123595504,0.0,7.191011235955057,0.5576208178438662,28.314606741573034,3.2442748091603053,80.0,15.598290598290598,100.0,21.573033707865168,8.194643986631988,43.59550561797752,8.970277786254883,1.0673936405655418,0.0,0.7755555555555556
1,CoTracker3,none,87.71031455742502,38.44827586206897,27.250000000000004,57.24137931034483,44.39716312056737,76.20689655172413,55.41984732824427,90.17241379310344,66.88524590163935,94.82758620689656,71.09243697478992,53.00893866504819,71.37931034482759,3.940145969390869,0.9156177359783897,0.016518424396442185,0.25833333333333336
1,CoTracker3,medium,90.05120702267739,20.689655172413794,12.76595744680851,51.03448275862069,38.7434554973822,65.17241379310344,53.62318840579711,83.62068965517241,68.5214626391097,92.41379310344827,76.96160267111853,50.12313333204321,62.58620689655172,5.569427967071533,1.4416515742431664,0.022871664548919948,0.19666666666666666
1,CoTracker3,strong,89.53913679590345,8.448275862068966,4.613935969868174,23.96551724137931,13.948717948717949,53.62068965517241,36.82266009852217,70.34482758620689,53.03030303030303,86.20689655172413,68.84498480243161,35.45212036996858,48.51724137931034,6.744569301605225,1.3309713293255157,0.05972045743329098,0.16
2,CoTracker3,none,93.67469879518072,31.382978723404253,19.13477537437604,59.308510638297875,42.34592445328032,78.98936170212765,64.97695852534562,85.37234042553192,74.20924574209245,90.42553191489363,78.1094527363184,55.75527136628258,69.09574468085106,21.985509872436523,1.0012251023078074,0.010416666666666666,0.09725685785536159
2,CoTracker3,medium,67.31927710843374,2.393617021276596,1.3207547169811322,7.9787234042553195,2.676864244741874,17.819148936170212,5.50098231827112,39.62765957446808,14.989293361884368,66.75531914893617,30.339805825242717,10.965540093424242,26.914893617021274,16.7789363861084,0.7930307699786993,0.003472222222222222,0.5386533665835411
2,CoTracker3,strong,86.8975903614458,0.0,0.0,0.0,0.0,0.26595744680851063,0.13123359580052493,1.0638297872340425,0.5270092226613966,5.851063829787234,2.968960863697706,0.7254407364319254,1.4361702127659577,6.295741558074951,0.3282296366625221,0.1701388888888889,0.09476309226932668
3,CoTracker3,none,85.6996935648621,44.23652694610779,29.619710765934652,84.88023952095809,70.54263565891473,91.76646706586826,79.25925925925927,93.7125748502994,79.25925925925927,94.98502994011976,79.25925925925927,67.58802484052543,81.91616766467065,1.5015395879745483,0.7543196107403645,0.022508038585209004,0.19544452608376195
3,CoTracker3,medium,89.93871297242084,44.16167664670659,28.851963746223564,83.00898203592814,71.05614973262033,90.6437125748503,80.59280169371912,93.7874251497006,84.76534296028882,95.13473053892216,85.70391872278664,70.1940353711277,81.34730538922156,1.3026604652404785,0.6642728434406578,0.06752411575562701,0.11388684790595151
3,CoTracker3,strong,76.25127681307457,37.27544910179641,20.606564187785626,75.22455089820359,52.06914614981666,86.52694610778443,63.82618510158014,93.41317365269461,67.03107019562717,94.91017964071857,68.58304297328688,54.42320172161929,77.47005988023953,0.5002890825271606,0.48122129836073524,0.5594855305466238,0.08596620132255695
4,CoTracker3,none,91.77524429967427,79.13322632423755,65.54149085794656,88.76404494382022,73.34315169366715,97.1107544141252,79.96941896024465,98.87640449438202,82.19814241486068,100.0,84.19405320813772,77.04925142697135,92.77688603531298,1.4317712783813477,2.228258672730051,0.026446280991735537,0.13117283950617284
4,CoTracker3,medium,91.77524429967427,71.58908507223114,54.215304798962386,79.29373996789727,60.893098782138026,88.4430176565008,71.3256484149856,93.41894060995185,77.46268656716417,99.83948635634029,84.05572755417957,69.59049322348594,86.51685393258427,1.2420495748519897,2.320209235981463,0.03636363636363636,0.12191358024691358
4,CoTracker3,strong,87.70358306188925,68.0577849117175,53.67156208277704,73.35473515248796,56.59863945578232,78.00963081861958,58.104395604395606,85.553772070626,64.19400855920114,91.3322632423756,70.26627218934911,60.56697557830104,79.26163723916532,0.981819748878479,1.3393650618197024,0.04628099173553719,0.18981481481481483
5,CoTracker3,none,98.99413243922884,81.84210526315789,67.3913043478261,91.57894736842105,82.03309692671394,96.84210526315789,91.06699751861042,99.73684210526315,96.42857142857143,100.0,96.9309462915601,86.7701833026564,94.0,20.416505813598633,0.9901100368557908,0.013530135301353014,0.0024691358024691358
5,CoTracker3,medium,91.70159262363788,3.9473684210526314,1.7725258493353029,13.421052631578947,6.821705426356589,42.368421052631575,27.59259259259259,83.94736842105263,68.45965770171149,91.84210526315789,72.68170426065163,35.46563716612952,47.10526315789473,11.202834129333496,0.6185782508773984,0.017220172201722016,0.20987654320987653
5,CoTracker3,strong,81.64291701592624,0.2631578947368421,0.17301038062283738,0.2631578947368421,0.17301038062283738,0.5263157894736842,0.17301038062283738,14.473684210526317,4.701627486437613,41.8421052631579,18.404907975460123,4.725113320753249,11.473684210526317,6.3135085105896,0.38190820546832344,0.023370233702337023,0.49382716049382713
6,CoTracker3,none,85.51980198019803,43.956043956043956,28.762135922330096,73.80952380952381,57.652303120356606,91.57509157509158,77.12854757929884,94.32234432234432,79.83050847457626,94.5054945054945,80.1358234295416,64.70186370522069,79.63369963369964,3.342348098754883,1.0029419454853314,0.16412213740458015,0.1295971978984238
6,CoTracker3,medium,84.4059405940594,41.75824175824176,26.611957796014067,68.4981684981685,52.112676056338024,85.16483516483517,71.97452229299363,90.47619047619048,77.92421746293246,93.4065934065934,78.51239669421489,61.42715406049861,75.86080586080585,2.5350310802459717,0.7985954385622032,0.21755725190839695,0.12084063047285463
6,CoTracker3,strong,75.4950495049505,26.373626373626376,14.486921529175051,54.57875457875458,35.476190476190474,73.62637362637363,53.99188092016238,82.23443223443223,63.271162123385935,88.82783882783882,69.09361069836552,47.26395314945588,65.12820512820512,1.7977229356765747,0.6324335372478876,0.46564885496183206,0.1330998248686515
