video,model,blur,occlusion_accuracy,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh
0,CoWTracker,none,99.7752808988764,22.47191011235955,12.67427122940431,48.53932584269663,32.09509658246657,79.7752808988764,66.16822429906543,95.95505617977528,92.0086393088553,100.0,99.7752808988764,60.5443024637336,69.34831460674158
0,CoWTracker,medium,100.0,6.292134831460674,3.248259860788863,32.13483146067416,19.143239625167336,74.6067415730337,59.49820788530465,99.10112359550561,98.21826280623608,100.0,100.0,56.02159403549939,62.426966292134836
0,CoWTracker,strong,100.0,0.8988764044943821,0.4514672686230248,4.49438202247191,2.2988505747126435,23.370786516853933,13.231552162849871,67.41573033707866,50.847457627118644,99.7752808988764,99.55156950672645,33.276179428006124,39.19101123595506
1,CoWTracker,none,82.58961228968545,35.86206896551724,18.367346938775512,53.44827586206896,29.640427599611275,71.72413793103448,43.75,85.0,55.29685681024446,94.6551724137931,64.89493201483313,42.38991267269288,68.13793103448276
1,CoWTracker,medium,75.49378200438917,12.931034482758621,5.547337278106509,40.86206896551724,19.915966386554622,61.03448275862069,32.74418604651162,74.48275862068967,42.557442557442556,88.27586206896552,53.771551724137936,30.907296798550654,55.51724137931034
1,CoWTracker,strong,65.54498902706656,5.172413793103448,1.949317738791423,22.586206896551726,9.034051424600417,51.55172413793103,23.252160251374708,70.34482758620689,33.64565587734242,83.62068965517241,43.026435733819504,22.181524205185692,46.6551724137931
2,CoWTracker,none,93.22289156626506,48.67021276595745,31.66089965397924,67.81914893617021,50.39525691699605,84.04255319148936,71.01123595505618,92.5531914893617,80.33175355450237,99.7340425531915,88.83374689826302,64.44657859575938,78.56382978723404
2,CoWTracker,medium,93.52409638554217,1.8617021276595744,0.9433962264150944,10.372340425531915,5.492957746478874,25.79787234042553,14.701378254211333,44.9468085106383,28.694158075601372,67.2872340425532,48.9065606361829,19.747690187777916,30.0531914893617
2,CoWTracker,strong,80.2710843373494,0.0,0.0,0.0,0.0,0.5319148936170213,0.2663115845539281,2.925531914893617,0.938337801608579,10.638297872340425,4.583333333333333,1.157596543899168,2.8191489361702127
3,CoWTracker,none,90.29622063329928,42.964071856287426,26.04735883424408,78.81736526946108,60.743321718931476,90.11976047904191,75.07906388361796,96.10778443113772,82.9477858559154,97.97904191616766,84.77970627503338,65.91944731354846,81.19760479041916
